# Text Cleanup report
Version	0.5
Input	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data/70Election/1.txt
Output	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data-clean/1.txt
# Counts
Pass	11603
Fixed	748
Unfixable	1
Original length	66619
Total Levenshtein dist	1591
# Fixes
Original	Fix	Heuristic
TrN	tarn	SpellCheckersHeuristic (dist:5)
Kratvkjr	dimekratik	SpellCheckersHeuristic (dist:5)
1U	1uel	TextCoreSpellCheckHeuristic
Correapondonoc	correspondence	SpellCheckersHeuristic (dist:5)
Courier-Journal.	couriers-journals.	TextCoreSpellCheckHeuristic
forty-live	forty-five	SpellCheckersHeuristic (dist:5)
hair-brwulih	hair-breadth	SpellCheckersHeuristic (dist:5)
ine	inez	SpellCheckersHeuristic (dist:5)
 # alternatives
	inc	SpellCheckersHeuristic (dist:5)
	i ne	WordUnmergerHeuristic
Dulaney,	delaney,	TextCoreSpellCheckHeuristic
ncn	nan	SpellCheckersHeuristic (dist:5)
Mvnnty-two	seventy-two	SpellCheckersHeuristic (dist:5)
aiismcuug	vacuum	SpellCheckersHeuristic (dist:5)
uie	une	SpellCheckersHeuristic (dist:5)
tKuauce	truce	SpellCheckersHeuristic (dist:5)
uie	une	SpellCheckersHeuristic (dist:5)
quesuon,	question,	TextCoreSpellCheckHeuristic
Drinpinjr	drinking	SpellCheckersHeuristic (dist:5)
Snrinffs?	sheriffs?	TextCoreSpellCheckHeuristic
yeare's	yearns	SpellCheckersHeuristic (dist:5)
iraue."	irate."	TextCoreSpellCheckHeuristic
naa	nag	SpellCheckersHeuristic (dist:5)
 # alternatives
	na a	WordUnmergerHeuristic
waj	wad	SpellCheckersHeuristic (dist:5)
purcnaseij	purchased	SpellCheckersHeuristic (dist:5)
snipped,	shipped,	TextCoreSpellCheckHeuristic
Ixroisville	louisville	SpellCheckersHeuristic (dist:5)
Ktopping-place	stopping-placed	TextCoreSpellCheckHeuristic
farmer's,	farmers	SpellCheckersHeuristic (dist:5)
Dili	di li	WordUnmergerHeuristic
witn	with	SpellCheckersHeuristic (dist:5)
 # alternatives
	wi tn	WordUnmergerHeuristic
hotel-Keeper	hotels-keepers	TextCoreSpellCheckHeuristic
tne	tine	SpellCheckersHeuristic (dist:5)
Finings,	fin ings,	TextCoreSpellCheckHeuristic
iiiauijr	xliii	SpellCheckersHeuristic (dist:5)
ctj'jrvt!	cts'java!	TextCoreSpellCheckHeuristic
"vj	"vjera	TextCoreSpellCheckHeuristic
nivuvun	nivver	SpellCheckersHeuristic (dist:5)
niountaiousroad	mountainous	SpellCheckersHeuristic (dist:5)
Uie	une	SpellCheckersHeuristic (dist:5)
xprings.	springs.	TextCoreSpellCheckHeuristic
km!	kemp	SpellCheckersHeuristic (dist:5)
 # alternatives
	kemp!	TextCoreSpellCheckHeuristic
Uie	une	SpellCheckersHeuristic (dist:5)
mot	mote	SpellCheckersHeuristic (dist:5)
Claypole	clay pole	WordUnmergerHeuristic
man's	manes	SpellCheckersHeuristic (dist:5)
bj	bab	SpellCheckersHeuristic (dist:5)
aleafortwig.	alert.	TextCoreSpellCheckHeuristic
wjw	whew	SpellCheckersHeuristic (dist:5)
smooth-cut	smoothed-cute	TextCoreSpellCheckHeuristic
accountthen	account then	WordUnmergerHeuristic
lookon	lookin	SpellCheckersHeuristic (dist:5)
 # alternatives
	look on	WordUnmergerHeuristic
Totter'sface	totters'face	TextCoreSpellCheckHeuristic
sazne	sane	SpellCheckersHeuristic (dist:5)
lulls,	bulls,	TextCoreSpellCheckHeuristic
sheuldcr.	sheldon.	TextCoreSpellCheckHeuristic
6traugcr	6draught	TextCoreSpellCheckHeuristic
iucidentof	incidental	SpellCheckersHeuristic (dist:5)
dilllcult	difficult	SpellCheckersHeuristic (dist:5)
rine,	rind,	TextCoreSpellCheckHeuristic
GreenMr.	greener.	TextCoreSpellCheckHeuristic
respired	respite	SpellCheckersHeuristic (dist:5)
perspired	perspiring	SpellCheckersHeuristic (dist:5)
